"Net.Income","Class","Year","Cleaning.Supplies","Paper.Goods","Services","Total.Income","Gross.Profit","Payroll.Expenses","Total.Expense"
4165.83,1,2023,600,238.83,5500,6338.83,6338.83,2173,2173
75,1,2023,0,0,75,75,75,0,0
1713.17,1,2023,960,0,15058.8,16018.8,16018.8,13790.63,14305.63
390.51,1,2023,0,390.51,0,390.51,390.51,0,0
300.13,1,2023,0,300.13,0,300.13,300.13,0,0
323,3,2023,0,0,700,700,700,377,377
13409.68,1,2023,3072,0,37428,40500,40500,27090.32,27090.32
1126.6,1,2023,522.36,0,4400,4922.36,4922.36,3795.76,3795.76
1921,1,2023,0,0,5975,5975,5975,4054,4054
1391.74,4,2023,2400,0,24400,26800,26800,25961,25408.26
235,1,2023,35,0,200,235,235,0,0
12287.76,3,2023,1700,0,35201,36901,36901,23500.38,24613.24
583,2,2023,450,0,275,725,725,142,142
300,2,2023,0,0,300,300,300,0,0
2851.47,1,2023,359.97,0,3315,3674.97,3674.97,823.5,823.5
11931.57,3,2023,1903,326.47,34956.35,37185.82,37185.82,25254.25,25254.25
13500.59,1,2023,900,2250.98,19200,22350.98,22350.98,8850.39,8850.39
7061.22,1,2023,1080,0,8335,9415,9415,2353.78,2353.78
3739,1,2023,300,0,7045,7345,7345,3606,3606
19310.53,1,2023,1614.98,328.01,29000,30942.99,30942.99,11632.46,11632.46
4425.71,1,2023,300,0,7615,7915,7915,3489.29,3489.29
5156.09,1,2023,291,0,7130,7421,7421,2264.91,2264.91
937.37,1,2023,900,0,8100,9000,9000,8062.63,8062.63
1598.38,1,2023,300,0,2400,2700,2700,1101.62,1101.62
2880.75,2,2023,900,0,8700,9600,9600,6719.25,6719.25
98,3,2023,0,0,280,280,280,182,182
770.37,3,2023,0,0,2100,2100,2100,1329.63,1329.63
275,3,2023,0,0,275,275,275,0,0
20275.35,2,2023,3000,0,31650,34650,34650,14374.65,14374.65
7204.4,1,2023,1799.4,0,32700,34499.4,34499.4,27295,27295
62757.32,2,2023,5330.49,170.88,155626.49,161127.86,161127.86,98370.54,98370.54
5259.71,1,2023,660,607.71,6435,7702.71,7702.71,2443,2443
-14300.75,1,2023,0,0,0,0,0,14300.75,14300.75
11434.28,1,2023,900.03,0,17400,18300.03,18300.03,6865.75,6865.75
